ruta_legacy,regla,target_slug,target_sku,candidatos
/producto/reflector-black-white-l/,UNRESOLVED,,,tetherblock-graphite (TBLKGRA); profoto-b30-kit-duo (901301); profoto-b20-kit-duo (901201)
/producto/reflector-black-white-m/,UNRESOLVED,,,tetherblock-graphite (TBLKGRA); profoto-b30-kit-duo (901301); profoto-b20-kit-duo (901201)
/producto/reflector-gold-white-l/,UNRESOLVED,,,tetherblock-graphite (TBLKGRA); profoto-d2-kit-500 (901012); profoto-b30-kit-duo (901301)
/producto/reflector-gold-white-m/,UNRESOLVED,,,tetherblock-graphite (TBLKGRA); profoto-d2-kit-500 (901012); profoto-b30-kit-duo (901301)
/producto/reflector-grid-10-widezoom/,UNRESOLVED,,,profoto-d30-duo (901070D); profoto-a10-nikon (901221); profoto-reflector-zoom (101000)
/producto/reflector-magnum/,B,profoto-reflector-magnum,101003,
/producto/reflector-narrow-beam/,B,profoto-reflector-narrow-beam,101004,
/producto/reflector-narrowbeam-travel/,UNRESOLVED,,,profoto-reflector-narrow-beam (101004); profoto-pro-b3-750 (901081); profoto-air-remote-ttl-s (901041)
/producto/reflector-silver-white-l/,UNRESOLVED,,,profoto-paraguas-deep-white-l (100995); profoto-paraguas-deep-white-s (100993); profoto-paraguas-deep-white-m (100994)
/producto/reflector-silver-white-m/,UNRESOLVED,,,profoto-paraguas-deep-white-m (100994); profoto-paraguas-deep-white-s (100993); profoto-paraguas-deep-white-l (100995)
/producto/reflector-softlight-grid-25/,UNRESOLVED,,,profoto-ocf-ii-grid-20 (101231); profoto-ocf-ii-grid-10 (101230); profoto-ocf-ii-grid-30 (101232)
/producto/reflector-sunsilver-white-l/,UNRESOLVED,,,profoto-paraguas-deep-white-l (100995); profoto-paraguas-deep-white-s (100993); profoto-paraguas-deep-white-m (100994)
/producto/reflector-sunsilver-white-m/,UNRESOLVED,,,profoto-paraguas-deep-white-m (100994); profoto-paraguas-deep-white-s (100993); profoto-paraguas-deep-white-l (100995)
/producto/reflector-translucent-l/,UNRESOLVED,,,tether-t-setup (TTSET); profoto-a10-canon (901220); tether-table-aero (TTETHERAIRBLK)
/producto/reflector-translucent-m/,UNRESOLVED,,,tether-t-setup (TTSET); profoto-a10-canon (901220); tether-table-aero (TTETHERAIRBLK)
/producto/reflector-widezoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-d30-duo (901070D); profoto-d30 (901070)
/producto/reflector-zoom/,B,profoto-reflector-zoom,101000,
/producto/rfi-grid-50-para-softbox-13x2/,UNRESOLVED,,,profoto-propanel-3x2 (902030); profoto-d30 (901070); profoto-pro-11 (901900)
/producto/rfi-grid-50-para-softbox-1x13/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/rfi-grid-50-para-softbox-1x3/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/rfi-grid-50-para-softbox-1x4/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/rfi-grid-50-para-softbox-1x6/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/rfi-grid-50-para-softbox-2x2/,UNRESOLVED,,,profoto-propanel-3x2 (902030); profoto-pro-b3-750 (901081); profoto-a2 (901230)
/producto/rfi-grid-50-para-softbox-2x3/,UNRESOLVED,,,profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR); profoto-propanel-3x2 (902030)
/producto/rfi-grid-50-para-softbox-3x3/,UNRESOLVED,,,profoto-propanel-3x2 (902030); profoto-pro-b3-750 (901081); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/rfi-grid-50-para-softbox-4-octa/,UNRESOLVED,,,profoto-softbox-rfi-octa-90 (254706); profoto-softbox-ocf-octa-60 (101218); profoto-softbox-rfi-octa-120 (254707)
/producto/rfi-grid-50-para-softbox-4x6/,UNRESOLVED,,,profoto-pro-b3-750 (901081); profoto-softbox-rfi-40x60 (254703); tetherboost-pro-9-4m (TBPRO)
/producto/rfi-grid-50-para-softbox-5-octa/,UNRESOLVED,,,profoto-softbox-rfi-octa-90 (254706); profoto-softbox-ocf-octa-60 (101218); profoto-softbox-rfi-octa-120 (254707)
/producto/rfi-grid-50-softbox-3-octa/,UNRESOLVED,,,profoto-softbox-rfi-octa-90 (254706); profoto-softbox-ocf-octa-60 (101218); profoto-softbox-rfi-octa-120 (254707)
/producto/rfi-grid-50-softbox-3x4/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/rfi-speedring-adaptor-bowens-calumet/,UNRESOLVED,,,rock-solid-low-boy-roller (RS-LOWBOY); rock-solid-tripod-roller (RS-TR); capture-one-pro-bundle (CO-PRO-BUNDLE)
/producto/rfi-speedring-adaptor-broncolor-pulso/,UNRESOLVED,,,rock-solid-tripod-roller (RS-TR); profoto-b10x-plus-duo (901164D); rock-solid-low-boy-roller (RS-LOWBOY)
/producto/rfi-speedring-adaptor-flash-de-mano/,UNRESOLVED,,,rock-solid-2-head-side-arm (RS-2HXBAR); profoto-a10-canon (901220); profoto-pro-d3-750w (901097)
/producto/rfi-speedring-adaptor-profoto/,UNRESOLVED,,,rock-solid-tripod-roller (RS-TR); profoto-pro-11 (901900); rock-solid-low-boy-roller (RS-LOWBOY)
/producto/rock-solid-2-head-cross-bar-side-arm/,UNRESOLVED,,,rock-solid-2-head-side-arm (RS-2HXBAR); rock-solid-tripod-roller (RS-TR); rock-solid-low-boy-roller (RS-LOWBOY)
/producto/rock-solid-4-head-tripod-cross-bar/,UNRESOLVED,,,rock-solid-tripod-roller (RS-TR); rock-solid-2-head-side-arm (RS-2HXBAR); rock-solid-low-boy-roller (RS-LOWBOY)
/producto/rock-solid-low-boy-roller/,A,rock-solid-low-boy-roller,RS-LOWBOY,
/producto/rock-solid-tripod-roller/,A,rock-solid-tripod-roller,RS-TR,
/producto/set-grid-ocf-kit-10-20-y-30/,UNRESOLVED,,,profoto-ocf-ii-grid-30 (101232); profoto-ocf-ii-grid-10 (101230); profoto-ocf-ii-grid-20 (101231)
/producto/sistema-de-camara-xc-iq4-150-con-lente-23mm/,UNRESOLVED,,,phase-one-xc-iq4-150 (XC-IQ4-23); phase-one-xf-iq4-150 (IQ4-150); phase-one-xt-iq4-150 (XT-IQ4-150)
/producto/sistema-de-camara-xf-iq4-150/,UNRESOLVED,,,phase-one-xf-iq4-150 (IQ4-150); phase-one-xt-iq4-150 (XT-IQ4-150); phase-one-xc-iq4-150 (XC-IQ4-23)
/producto/sistema-de-camara-xt-iq4-150/,UNRESOLVED,,,phase-one-xt-iq4-150 (XT-IQ4-150); phase-one-xf-iq4-150 (IQ4-150); phase-one-xc-iq4-150 (XC-IQ4-23)
/producto/snoot-para-reflector-zoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-air-remote-ttl-s (901041)
